,mse,mae,r2,mean_ic,ic_ir,mean_rank_ic,rank_ic_ir,mean_ls_return,ls_sharpe,group_1_ret,group_2_ret,group_3_ret,group_4_ret,group_5_ret
raw_linear,1.4645135418273654,0.961355213685872,0.06268704177910656,0.24585394418675624,2.7143596752116776,0.24428036512146048,2.4898262671562295,0.8510809011416743,2.4981157127160385,-0.46779125614949474,-0.2302332978792763,0.043827332267454715,0.2156755420979929,0.3832896449921798
graph_linear,1.45326595766365,0.9575207627094093,0.06988568220422409,0.25702299495507824,2.7957482419426247,0.25248289393157575,2.504816114248007,0.8794042654663805,2.5307626548731696,-0.4959566989330531,-0.2465324079817336,0.08641883851738462,0.21739066719293068,0.3834475665333275
gnn,1.4498616041401522,0.9565587928271084,0.07206452492626403,0.2623611488204727,2.890028343621004,0.256377509510038,2.6125236068144355,0.8658454239699553,2.727268471004553,-0.4936603979724418,-0.239800674723717,0.05323054642545358,0.2528134656020479,0.37218502599751363
